Transaction_ID,User_ID,Transaction_Date,Amount,Category,Payment_Method,Merchant_Name,Location,Income_Monthly,Savings_Contribution,Debt_or_Credit_Usage,Balance_After_Transaction,Transaction_Notes,extra_info
5433,1049433,1/12/2021,62108.09,Rent,Debit Card,"",Tokyo,158318.42,25.97,"",-9590.72,Uber ride,random text
3175,1048781,9/8/2020,80479.41,Healthcare,PayPal,"",London,120311.98,83.26,Yes,5733.92,Uber ride,null
6223,1048781,11/18/2021,86922.98,Shopping,Bank Transfer,Target,Nairobi,191853.12,72.14,y,7724.42,Paid rent,null
6525,1048781,6/25/2021,27857.08,Shopping,Credit card,Amazon,London,23439.79,98.23,Yes,-4430.04,Uber ride,null
3530,1049078,11/19/2020,17397.65,Education,Bank Transfer,Walmart,London,20359.25,3.98,No,5874.57,Lunch at Java,null
9227,1052079,4/28/2020,41361.1,Rent,cash,Walmart,Nairobi,48169.41,36.44,Yes,-3784.98,Uber ride,null
9041,1048781,5/17/2021,67525.13,Shopping,M-Pesa,"",New York,137341.0,48.09,Yes,-3473.32,Lunch at Java,null
1757,1048879,1/12/2020,39419.12,Education,Crypto,Walmart,New York,121045.26,10.85,n,-4074.17,Lunch at Java,random text
4421,1048781,5/7/2021,35876.12,Education,cash,Starbucks,London,191241.72,8.64,n,2187.32,Paid rent,null
8513,1052079,6/16/2020,30217.11,Shopping,M-Pesa,Walmart,Tokyo,143116.01,45.34,null,7909.36,Lunch at Java,null
4044,1048781,6/13/2020,95093.28,Food,Debit Card,Amazon,Nairobi,196603.7,46.74,"",3272.07,Lunch at Java,random text
1259,1048879,6/22/2020,21697.18,Bills,PayPal,Walmart,Nairobi,38434.48,57.9,n,-5229.21,Paid rent,random text
7388,1048879,12/26/2020,5312.82,Education,Crypto,Walmart,New York,123120.67,8.92,n,-9734.12,Lunch at Java,random text
6373,1048781,10/4/2021,70543.21,Entertainment,M-Pesa,Walmart,London,184082.51,50.86,N/A,-4402.94,Paid rent,null
4748,1049078,9/7/2020,92062.59,Food,Bank Transfer,Target,New York,153755.35,38.79,n,6359.86,Uber ride,random text
4557,1052079,3/12/2021,62640.29,Healthcare,Bank Transfer,Amazon,London,94643.74,89.14,N/A,-3172.04,Uber ride,null
2012,1049433,3/12/2020,33545.17,Entertainment,Debit Card,"",Nairobi,184926.56,6.2,n,9009.29,Shopping,null
2105,1048879,6/7/2020,76447.49,Rent,cash,Walmart,Tokyo,115390.14,95.55,No,6266.18,Uber ride,null
5887,1048879,7/1/2020,63994.2,Food,Crypto,Walmart,Tokyo,107294.74,47.52,Yes,-7125.76,Lunch at Java,random text
2801,1048879,3/12/2020,23886.0,Healthcare,Crypto,Target,Nairobi,191252.48,77.78,"",-7239.13,Uber ride,null
4379,1049078,9/20/2020,67443.74,Shopping,PayPal,Walmart,New York,114606.85,20.69,n,-1776.81,Paid rent,random text
8978,1048879,6/24/2020,97763.63,Shopping,Crypto,Walmart,Nairobi,168623.57,82.73,y,1218.9,Shopping,null
2434,1049078,8/12/2021,48094.65,Shopping,Bank Transfer,"","",171727.25,65.55,"",6221.19,Paid rent,random text
8065,1049433,7/29/2021,89963.48,Rent,Credit card,"",New York,13879.36,57.86,No,-7710.75,Uber ride,random text
9749,1049078,12/5/2021,76773.4,Rent,Debit Card,Target,New York,98087.51,34.79,N/A,-7353.9,Paid rent,random text
1042,1048879,2/11/2020,63729.88,Education,M-Pesa,"",Nairobi,124425.6,8.66,y,8787.81,Uber ride,random text
3673,1052079,9/5/2021,97261.15,Entertainment,Credit card,Amazon,New York,66531.51,99.25,n,-4063.89,Shopping,null
7538,1048879,8/11/2020,90500.22,Healthcare,Bank Transfer,Starbucks,"",26473.9,60.25,"",-1975.25,Uber ride,random text
2101,1048879,11/16/2021,16059.57,Entertainment,PayPal,"",Nairobi,54435.71,78.2,n,-8639.13,Lunch at Java,null
1748,1049078,11/10/2020,7533.42,Food,Debit Card,Starbucks,London,174356.21,78.7,y,8925.67,Lunch at Java,random text
8573,1052079,10/19/2021,98898.1,Entertainment,cash,"",London,58102.89,59.22,n,5115.39,Shopping,random text
2937,1049433,2/5/2020,19195.56,Transport,Bank Transfer,Target,"",34420.68,87.42,No,-1607.4,Uber ride,null
1416,1049078,5/22/2020,34040.25,Entertainment,PayPal,Starbucks,New York,61145.17,5.77,N/A,-3462.0,Uber ride,random text
1539,1052079,11/18/2020,92039.78,Food,M-Pesa,"",Tokyo,194821.96,74.97,null,4367.5,Shopping,null
5369,1049433,7/5/2020,8278.77,Entertainment,Bank Transfer,Target,Nairobi,88380.57,2.85,n,-7768.11,Uber ride,null
7172,1049433,8/29/2021,61592.67,Rent,Credit card,Starbucks,Tokyo,193604.69,13.98,y,-4812.71,Lunch at Java,null
2052,1049433,3/11/2021,35299.4,Entertainment,Debit Card,"",London,36018.34,84.75,n,-3113.08,Lunch at Java,null
6032,1049433,12/31/2020,19826.64,Entertainment,Credit card,Target,Tokyo,123777.15,9.68,null,-5690.79,Uber ride,random text
1303,1048781,10/5/2020,74619.21,Entertainment,cash,Target,Nairobi,151339.37,19.19,N/A,-5601.85,Shopping,null
6026,1049078,3/11/2021,37739.33,Others,cash,"",New York,17124.62,39.05,y,5488.92,Shopping,null
7013,1048781,6/1/2020,49158.06,Bills,Crypto,Walmart,"",53270.54,14.73,N/A,5423.89,Uber ride,random text
9767,1048781,3/22/2021,78097.55,Entertainment,Crypto,"",London,166505.76,57.86,No,9561.17,Uber ride,null
4605,1048879,3/3/2020,40224.29,Entertainment,Crypto,Starbucks,London,149209.51,20.0,n,7099.22,Paid rent,null
1005,1048781,12/3/2021,36223.95,Bills,Crypto,Starbucks,"",49500.12,19.92,No,5147.9,Lunch at Java,null
2954,1048879,1/25/2020,91074.63,Shopping,Bank Transfer,Walmart,Tokyo,59522.42,34.4,N/A,8004.21,Paid rent,random text
4905,1052079,5/22/2020,64618.45,Healthcare,Debit Card,"",Tokyo,180043.88,14.93,null,-3545.42,Shopping,random text
9299,1049433,9/20/2021,43612.54,Rent,Credit card,Walmart,"",110228.16,59.41,N/A,-2141.59,Lunch at Java,null
9195,1049433,12/27/2021,96124.56,Rent,Bank Transfer,Starbucks,London,70442.55,67.11,N/A,-270.17,Lunch at Java,random text
1521,1049433,12/25/2020,40940.74,Entertainment,Crypto,Target,London,75994.64,5.01,y,-5493.76,Uber ride,random text
1399,1049078,9/18/2020,50569.63,Shopping,cash,Target,"",33873.52,63.79,Yes,7036.38,Lunch at Java,random text
6749,1049433,8/27/2021,6012.17,Healthcare,Bank Transfer,"",Tokyo,190670.13,54.14,"",-7007.81,Shopping,random text
9244,1049078,6/27/2020,86025.3,Rent,Credit card,"",Tokyo,13127.08,22.19,Yes,1191.08,Shopping,null
3546,1052079,3/22/2021,51525.41,Education,Credit card,Starbucks,New York,198869.17,72.24,y,-2130.33,Shopping,null
1562,1049433,12/30/2021,77669.98,Others,Debit Card,"",New York,114627.07,30.8,y,-6195.49,Lunch at Java,random text
1167,1048879,8/4/2020,81838.47,Healthcare,PayPal,Amazon,Tokyo,109575.06,50.18,n,2149.84,Lunch at Java,random text
2966,1048879,2/11/2020,19742.56,Shopping,M-Pesa,"",New York,181308.61,71.69,No,-9723.4,Lunch at Java,random text
7007,1048781,1/6/2020,49571.75,Food,Debit Card,Walmart,"",142792.49,41.6,y,-4838.82,Lunch at Java,random text
9398,1048781,3/5/2020,13598.53,Healthcare,Debit Card,Target,Tokyo,103476.05,67.16,n,334.44,Uber ride,null
2256,1048879,7/31/2021,97434.18,Bills,Bank Transfer,Target,New York,175021.31,32.07,No,2967.92,Uber ride,null
2861,1049078,12/27/2021,91931.1,Rent,Crypto,Walmart,Tokyo,168259.59,14.36,Yes,-132.96,Uber ride,null
3436,1049078,2/28/2020,83031.27,Transport,M-Pesa,Target,Tokyo,108020.41,67.94,n,1155.49,Uber ride,random text
9030,1049433,7/12/2020,48013.38,Food,M-Pesa,Starbucks,Nairobi,37518.42,55.83,No,9205.38,Lunch at Java,random text
8983,1049078,4/22/2020,54007.66,Entertainment,Debit Card,Target,New York,39091.05,88.47,N/A,-103.88,Lunch at Java,random text
2965,1048879,8/29/2020,98549.96,Rent,cash,"",New York,132760.94,38.92,"",6109.75,Shopping,random text
9476,1049433,1/22/2021,5586.38,Shopping,Bank Transfer,Target,Nairobi,147258.85,71.12,Yes,2372.51,Lunch at Java,null
6069,1048879,7/14/2021,1973.21,Others,cash,Target,"",106169.5,24.32,y,-6929.39,Lunch at Java,null
6707,1052079,8/29/2021,9111.3,Healthcare,M-Pesa,Amazon,Tokyo,12664.45,60.75,"",7431.53,Shopping,random text
8369,1048781,5/1/2020,41881.11,Rent,Debit Card,Amazon,New York,75541.39,42.37,No,3621.48,Paid rent,null
8492,1048879,11/21/2020,95449.18,Rent,Bank Transfer,"",New York,192887.35,18.31,N/A,-3480.1,Shopping,null
3977,1049433,1/27/2021,38654.39,Rent,M-Pesa,Starbucks,London,43288.88,40.78,"",1070.06,Uber ride,random text
9150,1048879,5/3/2021,76355.38,Others,M-Pesa,"",Tokyo,89407.98,88.27,No,4706.45,Uber ride,null
4232,1048781,6/5/2021,73656.38,Rent,M-Pesa,Walmart,New York,194136.03,54.44,N/A,2285.68,Lunch at Java,null
9153,1048781,11/18/2020,51490.37,Shopping,PayPal,"",London,130022.29,72.32,No,-7156.28,Uber ride,null
7286,1048781,10/5/2020,78545.41,Transport,M-Pesa,Starbucks,New York,75828.89,39.56,null,-9401.06,Paid rent,null
5086,1049078,11/22/2021,34176.43,Entertainment,Bank Transfer,"","",104147.59,96.77,Yes,8711.79,Shopping,random text
9387,1049433,12/3/2021,73592.43,Bills,cash,Target,New York,156421.27,28.37,n,3898.51,Shopping,null
1845,1052079,10/17/2020,86580.99,Healthcare,M-Pesa,"",Nairobi,131821.32,71.21,No,-9232.02,Uber ride,null
1157,1052079,9/15/2020,42484.16,Food,Bank Transfer,Walmart,"",21876.65,16.66,Yes,-1079.29,Uber ride,random text
9910,1048781,9/21/2021,51752.66,Food,Debit Card,Target,Nairobi,132288.57,63.43,N/A,-3759.41,Shopping,random text
5550,1049433,9/21/2021,89302.41,Bills,Crypto,Starbucks,London,49279.01,80.4,Yes,-3482.6,Paid rent,null
4421,1048781,3/8/2021,48534.17,Food,Bank Transfer,Target,New York,69540.63,70.7,"",4964.92,Paid rent,null
5625,1049433,12/29/2020,5835.69,Rent,Debit Card,Starbucks,New York,178950.0,86.02,No,840.14,Lunch at Java,null
4073,1049433,11/18/2021,434.67,Food,Credit card,Walmart,Nairobi,167660.78,93.79,Yes,-1747.78,Uber ride,random text
9772,1052079,11/27/2020,56876.85,Healthcare,PayPal,Walmart,New York,50361.87,21.09,y,-9984.79,Shopping,random text
3718,1048879,9/24/2021,61766.42,Bills,Crypto,Walmart,Nairobi,103896.55,83.44,No,1861.32,Paid rent,random text
6605,1049433,12/4/2021,95433.28,Food,Crypto,Target,New York,185109.73,83.96,No,-4081.82,Uber ride,null
5780,1049078,3/31/2021,87900.25,Entertainment,Crypto,Walmart,"",64173.4,12.22,n,-6532.03,Paid rent,null
3161,1049433,11/27/2020,23065.2,Shopping,Crypto,"",Nairobi,152520.02,32.26,"",3928.09,Paid rent,random text
9794,1049433,12/17/2021,73616.3,Food,Debit Card,Walmart,New York,29387.0,14.69,Yes,67.9,Paid rent,null
6867,1048879,10/6/2020,88013.41,Education,Crypto,Target,New York,23113.19,95.65,No,6961.29,Lunch at Java,random text
6950,1049078,8/28/2021,48673.14,Entertainment,PayPal,Target,London,109476.97,33.39,No,4093.53,Uber ride,random text
3386,1052079,2/7/2021,62638.94,Transport,Bank Transfer,Starbucks,"",105586.68,34.96,n,3601.42,Paid rent,random text
4880,1049078,1/6/2021,69489.08,Bills,Debit Card,Amazon,London,170115.86,62.26,y,-6568.08,Uber ride,null
5729,1052079,8/2/2021,37161.47,Shopping,Credit card,Walmart,Tokyo,102185.93,44.77,null,-1243.91,Shopping,null
1924,1052079,3/24/2021,37094.26,Rent,PayPal,"",Nairobi,35160.18,47.85,"",6994.43,Lunch at Java,null
2828,1049433,11/17/2020,93443.57,Entertainment,M-Pesa,Starbucks,London,134000.02,34.28,Yes,-3441.98,Uber ride,null
9488,1052079,5/12/2020,76640.2,Shopping,Crypto,Amazon,"",168299.34,18.65,y,-4519.55,Paid rent,random text
6602,1049078,9/30/2020,75712.29,Rent,Debit Card,Walmart,Nairobi,98397.66,29.2,null,6261.18,Paid rent,null
2114,1049433,11/20/2021,5633.19,Rent,Crypto,Walmart,New York,192525.38,6.53,N/A,1620.19,Uber ride,random text
9741,1049433,10/22/2021,15611.3,Entertainment,Credit card,Walmart,New York,109882.84,3.98,n,-3519.6,Lunch at Java,random text
6033,1052079,3/8/2021,25362.91,Shopping,Credit card,Target,New York,189186.08,88.53,Yes,-3838.26,Shopping,null
7010,1048879,10/4/2021,20253.5,Healthcare,cash,Walmart,Tokyo,168288.96,25.95,n,595.98,Lunch at Java,random text
7328,1048879,9/4/2020,5539.17,Entertainment,M-Pesa,Walmart,"",87335.97,82.72,null,3166.41,Uber ride,random text
8158,1048781,11/19/2020,48905.33,Others,Bank Transfer,Walmart,New York,145522.47,67.34,null,3242.03,Lunch at Java,random text
5406,1049078,5/17/2021,16663.94,Transport,cash,Amazon,New York,45266.64,62.63,null,-754.69,Lunch at Java,random text
5664,1048781,1/26/2021,25916.52,Healthcare,M-Pesa,Walmart,Tokyo,140398.6,23.71,No,9128.15,Lunch at Java,null
3468,1048781,9/27/2020,91258.7,Rent,PayPal,Target,Nairobi,169314.75,14.36,N/A,7551.03,Lunch at Java,null
8933,1049078,9/6/2021,99353.95,Entertainment,Credit card,"",London,196115.04,65.27,No,7553.26,Shopping,null
8534,1049078,4/1/2020,40712.59,Others,Bank Transfer,Starbucks,New York,52700.98,40.9,n,6665.85,Lunch at Java,null
3632,1052079,3/9/2021,92641.91,Shopping,PayPal,Amazon,New York,75358.85,17.55,null,6757.12,Uber ride,null
8205,1049433,7/7/2020,77482.19,Transport,Bank Transfer,Walmart,Tokyo,90414.7,42.21,null,-9171.35,Uber ride,null
3025,1049078,9/22/2020,23794.47,Transport,cash,Starbucks,Tokyo,190344.98,87.04,N/A,-1483.05,Uber ride,random text
7817,1048879,8/15/2020,66369.3,Shopping,M-Pesa,Starbucks,"",33209.62,89.71,y,6335.81,Uber ride,random text
7902,1048879,10/9/2021,49550.71,Healthcare,M-Pesa,Walmart,London,172831.74,34.24,No,9182.72,Paid rent,null
2524,1049433,3/5/2021,96291.26,Shopping,Bank Transfer,Target,Tokyo,64862.43,97.01,n,9914.19,Uber ride,null
5477,1049078,9/27/2020,71344.52,Healthcare,Bank Transfer,Target,London,57690.65,92.09,No,-1767.24,Paid rent,random text
8852,1049433,2/26/2020,1366.08,Healthcare,Bank Transfer,Walmart,Tokyo,62275.68,29.46,n,5223.1,Paid rent,null
2729,1049433,8/19/2020,39816.68,Shopping,Credit card,Walmart,Nairobi,86413.07,75.41,n,5232.74,Lunch at Java,null
2381,1052079,3/9/2021,77293.02,Education,Credit card,Target,Nairobi,185653.71,79.58,"",9088.42,Paid rent,random text
5930,1048879,7/2/2021,6124.49,Others,Debit Card,"",Tokyo,119066.57,63.21,N/A,8274.6,Paid rent,null
6672,1048781,12/5/2020,13551.1,Bills,Debit Card,Amazon,"",28037.06,69.56,Yes,-7584.11,Lunch at Java,random text
7109,1048781,1/23/2021,67927.72,Transport,Crypto,Walmart,Tokyo,150293.25,35.45,Yes,933.3,Uber ride,random text
9439,1048879,12/17/2020,43294.35,Education,cash,Starbucks,"",19949.82,18.34,y,2784.41,Paid rent,random text
4840,1049433,3/18/2021,27161.86,Bills,Debit Card,Amazon,New York,63419.63,31.21,y,-6552.96,Lunch at Java,random text
1095,1048781,9/5/2020,11347.49,Food,Credit card,"",London,143055.5,33.06,No,-8097.25,Lunch at Java,null
6130,1052079,1/24/2020,87.3,Bills,Credit card,Amazon,Nairobi,178236.7,4.98,null,-467.67,Paid rent,random text
9566,1048879,10/27/2020,21250.29,Others,cash,Amazon,Nairobi,76180.76,1.13,N/A,-6250.43,Lunch at Java,null
6754,1052079,10/14/2020,67850.7,Entertainment,cash,Walmart,Tokyo,192917.4,74.87,null,9722.67,Uber ride,null
7487,1052079,10/6/2021,57634.55,Shopping,Crypto,Target,New York,74379.97,15.5,No,-9027.67,Uber ride,null
9052,1049078,12/2/2020,28284.06,Transport,Credit card,Amazon,London,55559.11,36.1,n,-9948.02,Lunch at Java,random text
7072,1048781,9/28/2021,38223.29,Transport,M-Pesa,Amazon,Tokyo,124749.85,8.75,Yes,-3425.64,Paid rent,null
2312,1052079,12/25/2021,82535.87,Others,Crypto,Target,London,187380.66,42.81,Yes,7630.3,Lunch at Java,random text
6708,1049433,3/31/2020,35036.58,Entertainment,Crypto,"","",99249.28,23.17,null,2147.54,Lunch at Java,null
7653,1048879,7/18/2020,95857.02,Bills,Crypto,Target,Nairobi,185387.37,80.2,N/A,712.89,Paid rent,random text
4433,1048781,12/12/2021,17359.23,Healthcare,PayPal,Amazon,Nairobi,49379.51,35.22,Yes,-5711.02,Lunch at Java,random text
3807,1048879,11/24/2021,16302.92,Shopping,cash,Starbucks,Tokyo,180894.58,39.15,y,-6703.31,Uber ride,null
1834,1052079,12/4/2021,4017.27,Bills,PayPal,Amazon,Tokyo,117127.46,29.58,"",-5339.79,Lunch at Java,random text
7978,1048781,3/28/2021,26879.23,Shopping,Crypto,Starbucks,New York,58765.48,31.46,N/A,2248.73,Paid rent,random text
8814,1049078,5/15/2020,77214.4,Entertainment,Credit card,Target,New York,112141.14,67.03,Yes,3456.26,Uber ride,null
3937,1049433,2/19/2020,63267.57,Education,Credit card,Starbucks,"",134598.0,30.51,Yes,938.49,Shopping,random text
1002,1052079,5/16/2021,46916.97,Entertainment,M-Pesa,Starbucks,Tokyo,44542.69,49.11,null,-1308.3,Shopping,random text
2933,1052079,7/1/2021,48922.3,Shopping,Crypto,Starbucks,"",163217.65,3.22,Yes,5240.79,Shopping,null
8489,1048879,8/28/2021,46605.69,Food,cash,Target,Tokyo,25923.89,74.65,No,-8563.21,Paid rent,null
4985,1048781,2/20/2021,35287.11,Education,Debit Card,Walmart,Nairobi,111314.79,99.02,Yes,-6920.29,Lunch at Java,null
1411,1048781,4/8/2020,77040.95,Transport,Credit card,"","",23705.77,6.94,No,-2564.62,Paid rent,null
2939,1049078,4/4/2021,1306.76,Others,M-Pesa,Amazon,New York,111084.12,80.68,n,-1143.68,Shopping,random text
5423,1048781,7/14/2020,62463.78,Education,PayPal,Target,London,176407.45,77.98,N/A,-5805.85,Uber ride,null
1483,1048781,4/3/2021,61867.64,Healthcare,Credit card,Walmart,London,195748.96,29.86,N/A,-8273.76,Paid rent,random text
9641,1049433,7/27/2021,45427.58,Education,Bank Transfer,"",New York,140512.47,21.26,y,419.41,Shopping,null
6135,1049078,9/18/2020,18147.21,Entertainment,Crypto,Starbucks,Tokyo,102862.55,62.78,No,8386.02,Paid rent,null
6303,1052079,8/3/2020,71956.11,Others,Bank Transfer,Amazon,Tokyo,196717.79,75.4,N/A,-7092.5,Lunch at Java,null
1562,1048781,8/1/2020,13176.89,Shopping,M-Pesa,"",London,100198.41,37.92,null,1507.92,Shopping,random text
3413,1048879,10/19/2021,4044.91,Shopping,Bank Transfer,Starbucks,London,142641.79,30.16,y,3713.23,Shopping,null
1744,1049078,1/7/2021,785.31,Others,Debit Card,"",New York,164123.46,83.65,N/A,1523.96,Shopping,null
8145,1049078,1/6/2020,31033.62,Bills,Crypto,Starbucks,London,36579.2,89.46,y,2832.14,Paid rent,null
7577,1049433,8/8/2021,29261.19,Others,M-Pesa,Target,Tokyo,24228.34,66.49,Yes,-700.62,Paid rent,random text
3827,1048879,11/21/2021,28380.44,Education,Credit card,Walmart,Nairobi,61632.98,78.37,n,3076.58,Lunch at Java,null
1550,1048781,1/23/2020,46493.41,Entertainment,PayPal,"",New York,171635.47,57.49,N/A,2699.28,Paid rent,random text
9343,1049078,5/12/2020,83183.41,Bills,cash,Starbucks,Nairobi,100352.31,53.44,N/A,1485.41,Shopping,null
4627,1049433,3/31/2020,32130.56,Education,Bank Transfer,Amazon,New York,17731.98,8.14,No,-4780.64,Uber ride,random text
4313,1049433,1/18/2021,92678.9,Shopping,Debit Card,Amazon,Nairobi,34012.64,83.78,N/A,-5425.88,Shopping,null
3070,1052079,12/22/2021,58014.39,Rent,Credit card,Starbucks,Tokyo,169592.0,14.55,N/A,-1032.5,Uber ride,null
1498,1049433,11/5/2021,69913.4,Entertainment,Debit Card,Amazon,Nairobi,193539.89,84.18,y,8745.41,Paid rent,random text
3366,1052079,2/28/2021,68925.44,Bills,Debit Card,Amazon,"",64179.27,97.07,y,200.29,Uber ride,random text
9439,1048879,3/20/2020,2859.61,Transport,Credit card,Target,New York,39761.91,66.53,null,8509.79,Lunch at Java,null
2395,1052079,5/15/2020,9947.13,Healthcare,M-Pesa,Amazon,"",38803.76,96.01,Yes,-4555.18,Shopping,random text
4100,1052079,4/16/2021,14702.94,Shopping,Bank Transfer,Target,London,89619.79,94.99,No,4954.45,Lunch at Java,random text
7710,1048879,10/6/2021,69253.15,Entertainment,M-Pesa,"",New York,108671.49,20.19,n,-7771.56,Shopping,null
4095,1049078,3/5/2020,61774.62,Shopping,Debit Card,Amazon,London,122881.27,39.23,y,8825.47,Paid rent,random text
7103,1048879,9/20/2021,88076.0,Rent,M-Pesa,Starbucks,Nairobi,148445.11,18.34,"",7046.0,Lunch at Java,null
1877,1049078,1/30/2020,90655.46,Shopping,Crypto,Target,Nairobi,168818.41,20.47,No,7965.81,Paid rent,random text
3049,1048879,12/13/2021,3106.35,Education,PayPal,Target,Nairobi,149330.91,58.06,Yes,514.46,Uber ride,random text
5740,1052079,1/15/2020,53874.04,Entertainment,Crypto,Amazon,Tokyo,134667.38,40.98,null,8364.66,Uber ride,null
9473,1052079,8/3/2020,46335.53,Bills,Credit card,Walmart,London,98825.23,72.94,n,-8264.11,Paid rent,random text
7699,1048879,5/18/2020,26977.65,Shopping,Crypto,Walmart,London,62008.37,83.68,No,-2189.51,Shopping,random text
8699,1052079,3/22/2020,34159.27,Entertainment,Credit card,Starbucks,"",160628.89,11.3,N/A,689.84,Paid rent,random text
8465,1048781,11/26/2021,71742.89,Others,M-Pesa,Starbucks,London,181793.38,1.5,"",-6477.24,Shopping,random text
7422,1048781,10/28/2020,9750.7,Rent,cash,Amazon,"",117855.75,16.88,y,-7782.62,Uber ride,null
7544,1049433,12/22/2021,55095.67,Healthcare,PayPal,Walmart,"",20932.62,17.27,null,8328.25,Paid rent,random text
9336,1052079,5/16/2021,19104.5,Transport,Debit Card,Target,Tokyo,197900.37,21.92,null,-9879.13,Uber ride,random text
6852,1049433,9/18/2021,83545.01,Entertainment,Crypto,Amazon,Tokyo,146570.77,76.6,null,7309.52,Uber ride,null
2731,1048781,11/13/2021,83763.5,Shopping,Debit Card,"",Nairobi,107425.12,75.01,"",836.78,Lunch at Java,null
5612,1048879,10/14/2020,7983.86,Others,Bank Transfer,Target,"",136673.0,16.11,N/A,-1970.15,Shopping,random text
2049,1049078,2/26/2020,28623.7,Bills,PayPal,Amazon,"",135443.09,91.42,Yes,-9741.7,Shopping,random text
8145,1049078,9/13/2021,50607.72,Food,Credit card,"",Tokyo,47654.9,6.58,"",-2297.6,Paid rent,random text
5011,1049433,5/29/2020,87282.8,Transport,Credit card,Target,Nairobi,165278.0,99.94,N/A,-8991.51,Paid rent,random text
1527,1052079,4/13/2020,98778.49,Transport,cash,"",Nairobi,127108.08,61.98,"",4935.68,Shopping,random text
7073,1049078,2/7/2021,97127.34,Food,Bank Transfer,Amazon,Nairobi,71674.76,36.03,N/A,7084.96,Uber ride,null
3521,1052079,5/12/2020,20480.92,Entertainment,M-Pesa,Amazon,"",21545.51,56.4,No,-4959.49,Uber ride,null
7723,1049433,8/12/2020,22952.01,Rent,Bank Transfer,Walmart,New York,155321.73,37.87,Yes,7460.66,Paid rent,null
7437,1052079,11/14/2020,86345.51,Entertainment,PayPal,Target,London,27916.96,88.51,No,-5238.9,Paid rent,null
9608,1052079,1/6/2021,45464.51,Education,Crypto,Target,Nairobi,170887.66,59.95,Yes,-8959.14,Paid rent,null
5322,1052079,9/14/2020,29176.2,Food,Crypto,"",London,137778.19,38.88,y,-7353.83,Paid rent,null
1333,1049433,3/3/2020,25079.47,Healthcare,Debit Card,Target,London,85478.0,18.45,Yes,-2072.48,Uber ride,random text
2566,1048781,9/21/2021,5.64,Entertainment,Credit card,Target,New York,51116.38,57.35,No,8540.0,Shopping,null
8947,1048879,9/25/2020,2769.75,Bills,Crypto,Target,Nairobi,196105.19,46.64,Yes,-9886.57,Shopping,random text
4137,1049078,8/9/2021,66614.74,Entertainment,Debit Card,Target,"",94105.07,77.51,n,-8376.41,Shopping,random text
7946,1048781,7/25/2021,96642.28,Transport,cash,"","",29225.9,52.52,No,-8924.71,Shopping,random text
3946,1048879,9/18/2021,69586.85,Shopping,PayPal,Amazon,New York,35254.03,53.41,Yes,8369.64,Lunch at Java,null
6556,1049433,3/23/2020,99427.26,Bills,M-Pesa,Walmart,New York,182056.87,55.82,No,2406.13,Shopping,random text
